churn;accountlength;internationalplan;voicemailplan;numbervmailmessages;totaldayminutes;totaldaycalls;totaldaycharge;totaleveminutes;totalevecalls;totalevecharge;totalnightminutes;totalnightcalls;totalnightcharge;totalintlminutes;totalintlcalls;totalintlcharge;numbercustomerservicecalls
No;25;no;no;0;1193;87;2028;2115;101;1798;2689;86;121;105;4;284;3
No;65;no;no;0;1168;87;1986;1789;93;1521;1824;150;821;141;2;381;1
No;179;no;no;0;2192;92;3726;1494;125;127;2447;104;1101;61;5;165;0
No;94;no;no;0;2526;104;4294;1690;125;1437;1709;106;769;111;7;30;2
No;62;no;no;0;1471;91;2501;1904;107;1618;1952;115;878;122;3;329;0
No;127;no;no;0;2021;103;3436;2294;86;195;1952;113;878;115;3;311;2
No;116;no;no;0;1735;93;295;1941;76;165;2080;112;936;162;10;437;3
No;70;no;no;0;2321;122;3946;2923;112;2485;2012;112;905;0;0;0;3
No;94;yes;yes;23;1971;125;3351;2145;136;1823;2822;103;127;95;5;257;4
Yes;126;no;no;0;582;94;989;1387;118;1179;1368;91;616;119;1;321;5
No;67;no;yes;36;1156;111;1965;2377;94;202;1699;103;765;99;12;267;2
No;19;no;no;0;1861;98;3164;2543;57;2162;2140;127;963;146;7;394;2
No;170;yes;no;0;2599;68;4418;2450;122;2083;1344;121;605;84;3;227;3
No;73;no;no;0;2143;145;3643;2685;135;2282;2412;92;1085;108;13;292;1
No;106;no;no;0;1587;74;2698;643;139;547;1985;103;893;102;4;275;1
No;93;no;no;0;2716;71;4617;2294;108;195;773;121;348;109;3;294;2
No;164;no;no;0;1606;111;273;1632;126;1387;1871;112;842;90;3;243;1
No;51;no;no;0;2324;109;3951;1874;95;1593;2312;107;104;91;3;246;1
No;107;no;no;0;1338;85;2275;1805;94;1534;1122;115;505;89;4;24;0
No;130;no;no;0;1769;109;3007;907;104;771;2380;69;1071;95;2;257;1
No;80;no;no;0;2099;74;3568;1951;77;1658;2082;119;937;88;4;238;2
No;94;no;no;0;1375;118;2338;2032;88;1727;1500;131;675;134;2;362;0
No;118;no;yes;23;2895;52;4922;1666;111;1416;1191;88;536;95;4;257;1
No;117;no;yes;23;1981;86;3368;1770;86;1505;1805;92;812;68;6;184;1
No;78;no;no;0;1497;119;2545;1822;115;1549;2615;126;1177;97;8;262;0
Yes;208;no;no;0;3265;67;5551;1763;113;1499;1817;102;818;107;6;289;2
Yes;131;yes;yes;26;2929;101;4979;1997;97;1697;2553;127;1149;138;7;373;4
No;63;no;no;0;830;64;1411;1770;106;1505;2457;89;1106;130;3;351;0
No;53;no;yes;24;1457;146;2477;2205;136;1874;2499;96;1125;131;5;354;3
No;62;no;no;0;1823;101;3099;3282;93;279;2450;131;1103;112;1;302;2
No;97;no;no;0;2180;86;3706;1840;94;1564;2405;110;1082;64;8;173;3
No;105;no;no;0;1406;109;239;1786;51;1518;2170;83;976;68;3;184;2
No;157;no;no;0;1527;105;2596;2575;80;2189;1981;93;891;94;4;254;1
No;66;no;yes;36;1067;76;1814;2098;77;1783;1904;117;857;121;2;327;1
No;122;no;no;0;2438;98;4145;839;72;713;1798;84;809;137;8;37;2
No;38;no;no;0;1944;94;3305;1867;95;1587;2233;90;1005;108;5;292;3
No;106;no;no;0;2139;95;3636;1519;70;1291;2601;124;117;122;5;329;3
No;99;no;no;0;2172;112;3692;2467;89;2097;2261;89;1017;158;7;427;3
No;99;no;no;0;2411;72;4099;1556;98;1323;1882;109;847;116;10;313;1
No;144;yes;no;0;2035;100;346;2476;103;2105;1943;94;874;119;11;321;0
No;82;no;yes;24;1552;131;2638;2445;106;2078;1224;68;551;107;3;289;1
No;86;no;yes;31;1676;139;2849;1130;118;961;2469;121;1111;122;6;329;1
Yes;70;yes;no;0;2267;98;3854;2281;115;1939;732;93;329;176;4;475;2
No;93;no;no;0;1793;93;3048;1786;98;1518;2252;131;1013;115;6;311;3
No;93;no;no;0;1514;89;2574;1864;76;1584;1725;120;776;109;3;294;0
No;120;no;no;0;1800;80;306;2242;82;1906;2654;91;1194;47;7;127;3
Yes;136;no;no;0;2502;121;4253;2671;118;227;1510;114;68;130;2;351;1
No;106;no;no;0;2230;121;3791;1101;98;936;1887;107;849;71;12;192;0
No;81;no;no;0;1836;116;3121;1526;98;1297;2122;99;955;122;6;329;3
No;127;no;yes;22;1660;114;2822;1745;103;1483;2449;68;1102;102;6;275;1
No;65;no;no;0;1361;112;2314;2729;96;232;2202;104;991;44;2;119;1
No;35;no;no;0;1493;113;2538;2422;122;2059;1743;104;784;89;6;24;2
No;88;no;no;0;654;97;1112;1682;76;143;2360;113;1062;138;1;373;2
No;65;no;no;0;2134;111;3628;2345;94;1993;2501;123;1125;27;4;73;1
No;123;no;no;0;2069;85;3517;2447;78;208;2215;136;997;77;2;208;3
No;126;no;yes;27;1862;78;3165;1896;83;1612;765;139;344;96;3;259;2
No;104;no;yes;23;2802;136;4763;2205;92;1874;1369;102;616;133;3;359;4
No;45;no;yes;22;1966;84;3342;3132;92;2662;1633;108;735;119;3;321;0
Yes;93;yes;no;0;3120;109;5304;1294;100;110;2176;74;979;105;2;284;0
No;63;yes;yes;36;1990;110;3383;2913;111;2476;1976;92;889;110;6;297;1
No;100;no;no;0;2031;96;3453;2170;126;1845;1809;122;814;135;2;365;3
No;53;no;no;0;1688;97;287;2203;87;1873;1543;113;694;109;2;294;0
No;92;yes;no;0;1731;140;2943;2403;105;2043;2332;117;1049;90;5;243;1
Yes;139;no;no;0;1344;106;2285;2113;98;1796;1936;125;871;102;2;275;5
No;110;no;yes;40;2026;103;3444;1188;128;101;2349;98;1057;90;9;243;2
No;110;no;no;0;745;117;1267;2008;98;1707;1922;101;865;98;7;265;3
No;215;no;no;0;836;148;1421;1209;91;1028;2266;110;102;107;9;289;0
No;73;no;no;0;1922;86;3267;1686;116;1433;1398;87;629;94;6;254;1
No;138;no;no;0;2202;89;3743;883;125;751;1953;79;879;129;5;348;0
Yes;137;yes;no;0;1351;95;2297;1341;102;114;2231;81;1004;123;2;332;2
No;36;no;no;0;2534;77;4308;1824;151;155;2758;103;1241;84;2;227;1
No;85;no;no;0;2250;81;3825;1769;63;1504;1943;110;874;71;2;192;3
Yes;108;no;no;0;1985;99;3375;2678;60;2276;3549;75;1597;94;3;254;0
No;22;no;no;0;1103;107;1875;1665;93;1415;2023;96;91;95;5;257;0
No;107;no;yes;37;600;102;102;1022;80;869;2618;106;1178;111;3;30;0
No;51;no;no;0;2148;94;3652;1497;58;1272;2834;66;1275;102;5;275;0
No;94;no;no;0;1818;85;3091;2024;98;172;2459;97;1107;92;2;248;4
No;119;no;yes;23;1540;114;2618;2780;137;2363;2284;112;1028;118;4;319;2
Yes;33;no;yes;29;1574;99;2676;1179;80;1002;2792;79;1256;139;11;375;4
No;106;no;no;0;2079;91;3534;1720;109;1462;1918;143;863;144;7;389;4
No;82;no;no;0;2070;90;3519;2329;83;198;1724;108;776;91;8;246;3
No;86;no;yes;41;1190;101;2023;2300;134;1955;2369;58;1066;95;3;257;0
No;97;yes;no;0;1437;117;2443;2730;82;2321;1783;81;802;109;3;294;0
No;106;no;yes;32;1659;126;282;2165;93;184;1731;86;779;141;8;381;4
No;108;no;no;0;1386;122;2356;1723;117;1465;2316;92;1042;98;3;265;1
No;114;no;no;0;847;118;144;2499;86;2124;1934;95;87;145;8;392;1
Yes;92;yes;no;0;626;111;1064;1806;126;1535;2217;80;998;104;2;281;1
No;59;no;no;0;1552;79;2638;2353;123;200;1694;80;762;87;4;235;1
No;24;no;yes;25;1649;110;2803;2093;105;1779;2312;55;104;67;9;181;1
No;151;no;no;0;1345;88;2287;1431;112;1216;2239;61;1008;154;1;416;1
No;117;no;no;0;1433;103;2436;2113;108;1796;1852;96;833;115;3;311;1
No;78;no;no;0;1683;110;2861;2212;73;188;2410;136;1085;125;1;338;1
No;155;no;no;0;2624;55;4461;1946;113;1654;1465;85;659;83;6;224;2
No;114;no;yes;30;2062;79;3505;2600;91;221;2916;83;1312;114;6;308;1
No;114;no;yes;28;2258;94;3839;1930;117;1641;2324;100;1046;84;9;227;4
No;119;no;no;0;1383;89;2351;1705;78;1449;2639;98;1188;135;6;365;3
No;64;no;yes;48;944;104;1605;1362;101;1158;1474;89;663;45;4;122;0
No;118;yes;no;0;1600;123;272;1754;96;1491;1848;99;832;99;3;267;2
No;101;no;no;0;2066;105;3512;2249;117;1912;2499;100;1125;146;3;394;0
No;117;no;no;0;1347;121;229;1800;83;153;2009;104;904;77;3;208;1
No;49;no;yes;28;2144;78;3645;2352;100;1999;2062;107;928;80;13;216;3
No;139;no;no;0;1928;104;3278;2344;96;1992;2032;101;914;130;3;351;3
No;92;no;yes;28;1511;90;2569;1948;79;1656;2392;114;1076;100;3;27;1
No;83;no;no;0;2214;103;3764;2318;103;197;1225;100;551;98;5;265;3
No;148;yes;no;0;2189;88;3721;2080;85;1768;2033;99;915;111;4;30;0
Yes;144;no;yes;48;1898;96;3227;1234;67;1049;2142;106;964;65;2;176;2
No;131;no;yes;25;1927;85;3276;2259;105;192;2542;59;1144;109;6;294;2
No;146;yes;no;0;2044;135;3475;2191;90;1862;2227;114;1002;105;6;284;3
No;143;no;no;0;1723;97;2929;1740;108;1479;1882;119;847;130;4;351;2
No;81;no;no;0;1984;93;3373;2109;108;1793;1933;71;87;104;6;281;2
No;48;no;yes;37;2117;115;3599;1599;84;1359;1441;80;648;122;1;329;1
No;86;no;yes;28;2216;74;3767;2884;100;2451;2403;105;1081;90;2;243;1
No;71;no;no;0;1979;108;3364;1815;109;1543;2814;56;1266;67;5;181;3
No;145;no;yes;24;1475;90;2508;1757;108;1493;2521;102;1134;156;3;421;2
No;137;no;no;0;2064;122;3509;1280;102;1088;1945;84;875;88;5;238;2
No;137;no;no;0;2059;88;350;2093;86;1779;2899;84;1305;145;4;392;2
No;167;no;no;0;2076;88;3529;1324;63;1125;2552;98;1148;141;5;381;0
Yes;89;no;no;0;3039;95;5166;2609;114;2218;3121;89;1404;53;3;143;1
No;199;no;yes;34;2306;121;392;2194;99;1865;2993;94;1347;80;2;216;0
No;132;no;no;0;995;110;1692;1291;80;1097;1251;124;563;97;3;262;0
No;94;no;no;0;1771;112;3011;1940;112;1649;1467;108;66;59;4;159;1
Yes;96;no;yes;37;1727;93;2936;1201;116;1021;2161;86;972;103;5;278;5
No;96;no;yes;18;1727;86;2936;1334;113;1134;2595;70;1168;98;3;265;1
No;166;no;no;0;2042;115;3471;1799;152;1529;2168;109;976;95;5;257;1
No;74;no;no;0;857;83;1457;2477;67;2105;1424;85;641;101;5;273;2
No;36;no;no;0;1576;117;2679;1843;58;1567;2404;99;1082;119;1;321;0
No;113;no;no;0;2155;129;3664;2187;117;1859;2071;91;932;66;9;178;4
No;94;no;no;0;1815;98;3086;1999;88;1699;2877;114;1295;66;5;178;1
No;67;no;no;0;1717;80;2919;1104;81;938;1954;111;879;119;4;321;2
Yes;127;no;no;0;2666;106;4532;2648;168;2251;2072;119;932;59;2;159;1
Yes;121;no;no;0;1704;108;2897;3505;68;2979;2970;87;1337;112;3;302;0
No;158;no;no;0;1580;106;2686;2925;114;2486;2411;89;1085;91;4;246;1
No;136;no;no;0;920;117;1564;2536;77;2156;2141;90;963;103;10;278;1
No;196;no;no;0;2340;109;3978;2495;114;2121;1731;70;779;91;5;246;2
Yes;113;no;no;0;2721;111;4626;2685;118;2282;2138;105;962;85;10;23;1
Yes;122;no;no;0;2964;99;5039;2148;89;1826;1339;107;603;114;3;308;4
No;112;no;no;0;1944;101;3305;1903;82;1618;1834;107;825;114;2;308;0
No;209;no;no;0;2272;128;3862;2584;92;2196;1835;74;826;89;4;24;3
Yes;62;no;no;0;2487;109;4228;2200;118;187;2657;78;1196;132;2;356;1
No;110;no;yes;38;2363;102;4017;1959;112;1665;1835;82;826;97;6;262;1
No;16;no;no;0;2056;69;3495;1695;93;1441;2201;64;99;109;3;294;0
No;73;no;no;0;941;136;160;2803;122;2383;2050;77;923;98;4;265;0
No;128;no;no;0;1252;99;2128;2054;107;1746;2544;111;1145;189;2;51;0
No;39;no;no;0;604;158;1027;3062;120;2603;1239;46;558;124;3;335;1
No;103;no;yes;28;1210;105;2057;2704;100;2298;1605;76;722;77;4;208;2
No;119;no;yes;29;1178;66;2003;2568;114;2183;1476;76;664;76;3;205;3
No;173;no;yes;21;2324;96;3951;2119;118;1801;2730;102;1229;50;5;135;3
Yes;128;yes;yes;32;2235;81;380;1888;74;1605;1549;101;697;94;2;254;2
No;86;no;no;0;1763;79;2997;2592;97;2203;2874;78;1293;62;3;167;0
No;114;no;yes;32;1252;79;2128;1778;105;1511;2324;89;1046;129;3;348;1
No;104;no;no;0;1387;107;2358;2569;113;2184;2349;74;1057;100;3;27;0
No;148;no;no;0;863;134;1467;2466;92;2096;2516;91;1132;113;4;305;1
No;129;no;no;0;2070;91;3519;1549;121;1317;2451;112;1103;134;5;362;3
No;100;no;yes;30;588;104;100;2195;107;1866;1523;118;685;71;3;192;0
No;121;no;yes;35;687;95;1168;2092;69;1778;1974;42;888;114;4;308;1
No;143;no;yes;33;2392;109;4066;2355;112;2002;1563;95;703;95;4;257;1
No;76;no;no;0;1983;130;3371;2171;86;1845;1884;96;848;125;3;338;0
No;158;no;no;0;2052;97;3488;2406;77;2045;797;108;359;144;12;389;0
